,word,expected_information,expected_nb_words
1290,karet,6.940005944756006,26.224421235826245
1520,laset,6.916549664587406,26.654280032908158
2508,snare,6.8430570539905275,28.047259738209203
113,arsen,6.828196554270207,28.33765395248112
91,anset,6.821038036049797,28.478612169655843
2730,taler,6.7988817723803665,28.919349589632027
2303,salte,6.791105112884107,29.07565647008429
2842,trane,6.764323651390919,29.620443187892448
1519,laser,6.762809194843952,29.65155331594093
2163,raket,6.760709309054161,29.694743463460124
2392,skare,6.748582011679482,29.945409609940704
60,alter,6.735952523723004,30.208705315828617
2179,raste,6.727570833156174,30.38472100413288
2394,skate,6.7225151917367665,30.49138507369167
166,baret,6.7203885336864735,30.53636517314933
2840,trake,6.715766811401164,30.63434630938123
1522,laste,6.715552314957097,30.63890128923826
1339,klare,6.714551005743634,30.660173742668345
1340,klase,6.713746175318708,30.677282781140953
1296,karse,6.70430507302268,30.878695483503495
2230,roset,6.70238152563222,30.919893551596047
2538,sonet,6.70061107050559,30.95786130342644
48,alert,6.6957348519728495,31.062673958552892
2379,sitre,6.693970187520305,31.100692204173697
2578,stade,6.689600825791816,31.195026874710752
2609,stred,6.6842385595131875,31.31118953594447
119,asiet,6.66607301903932,31.70793357211769
2288,sadel,6.650845746026759,32.0443750127428
2177,rasle,6.6351399237741,32.39513015857008
1514,lanse,6.62876467643117,32.53860050695119
1367,knase,6.626152865570967,32.59756074527767
2339,senat,6.609542492245712,32.97503945935312
120,asket,6.606492843536356,33.04481764924973
2610,streg,6.59853562155301,33.22758075359806
2509,snart,6.598397668721531,33.230758180484735
1277,kanel,6.577807720680918,33.7084235360267
2786,tilse,6.571572453559909,33.854425200145236
2746,taske,6.563270504892862,34.0498011562145
1258,kadet,6.562437149394221,34.069475297460144
2546,spare,6.562136467951563,34.07657667805845
2465,slien,6.554597417085284,34.25511577269015
2373,sirat,6.554396251924016,34.25989253849414
40,aksel,6.55320970706424,34.28808118508259
2213,riste,6.5528053435024125,34.297692914151405
1975,palet,6.541045455059128,34.578407392345824
482,diset,6.537950278063344,34.652671999925204
72,andet,6.536758730359235,34.6813040853568
1608,luset,6.529139670653408,34.864945041297176
2314,sanke,6.5271864017683265,34.91218075779704
1567,liter,6.526395410687514,34.9313274204915
426,daler,6.526341740257531,34.93262694269276
46,alder,6.518198195888934,35.13036782881243
2527,sodet,6.514361573726844,35.22391588899935
2412,skrat,6.5048359848273,35.457256034230916
2293,sagte,6.499065003597831,35.599374056428196
2166,rakte,6.498392816544884,35.615964543799265
1991,parse,6.496996678851639,35.650447824737064
1998,pater,6.493911358522386,35.726770780536604
2821,toner,6.492230581453079,35.76841764847462
2460,slant,6.489827186343175,35.82805415013799
2289,sadle,6.489045580116227,35.84746990778786
432,daner,6.488033399055004,35.87262897493753
2592,stile,6.485888747349135,35.92599542091838
255,blase,6.480294328249057,36.065578117869485
1410,korea,6.479836638507226,36.07702160614314
1279,kante,6.477945642848131,36.12434014479298
2530,solen,6.4775608778815155,36.133975746063065
2298,salep,6.474922840009604,36.200108919117625
1428,krise,6.474486003983092,36.21107166982563
2366,sikre,6.467863750528294,36.37766966365864
2851,trine,6.4650872255323115,36.44774737329398
53,alien,6.46462139173721,36.45951793700714
83,ankre,6.460159030093107,36.57246448777019
2313,sande,6.459772793160124,36.582256943649384
118,asien,6.457561029283394,36.6383834052528
427,dalre,6.456611560854813,36.662503844342815
786,frase,6.45389774267178,36.73153368405043
2229,rosen,6.450242123149103,36.82472508766984
2211,risle,6.45005079265498,36.829609113654875
41,aktie,6.44876675310279,36.86240310318098
2286,sabel,6.447482896176702,36.89522162283456
2506,snage,6.446684291635399,36.91565064442761
1331,kisel,6.444896527878895,36.961424261272725
1425,kreta,6.4429438564974,37.0114850006448
1400,konet,6.442373165095992,37.02612864595457
82,anker,6.441647645457344,37.04475346858527
2931,uanet,6.440595979489113,37.071767431014294
2585,steak,6.436483772463154,37.17758622792336
1654,maler,6.432669210539518,37.2760157996152
2723,taber,6.431344117652959,37.3102689666496
1561,liner,6.422307701909198,37.54469771590269
1665,maner,6.420272262233396,37.59770538519584
434,danse,6.419921744823286,37.606841239286446
2221,rodet,6.418409467718141,37.64628254966416
2661,svare,6.415625014558469,37.71901138692422
1418,krage,6.4149239016195985,37.73734631778841
