,ord,information
505,artes,6.034754399062689
489,arnes,6.007183030062699
328,alnes,5.917858384770899
335,alser,5.9020611204023785
337,alset,5.873754873013291
501,arsen,5.839666297519248
54,adles,5.8339417884039495
479,arkes,5.8319722500830675
469,arges,5.82891932709937
441,anser,5.809315927608107
474,aries,5.7874077626128635
267,agres,5.7842874814509715
637,bares,5.783181000027935
433,anret,5.7704055484159245
443,anset,5.759887600235195
342,alter,5.73692669460245
308,alges,5.729420231358061
318,alkes,5.726238074393105
530,asner,5.70897411623825
511,arves,5.691845317662533
345,altre,5.683273838021512
259,agles,5.6727214374319015
602,bales,5.670682470498254
503,arten,5.667776414641691
484,armes,5.665264321637295
532,asnet,5.663912189388404
281,akser,5.661741091820175
467,arens,5.649416643453258
53,adler,5.641861615758533
297,alder,5.634878579617165
331,aloes,5.634439896011049
562,avles,5.624428525708275
393,anges,5.619148440721233
493,arpes,5.6117701128636455
412,ankes,5.61125653643831
470,arget,5.599516488623667
480,arket,5.590632162947931
55,adlet,5.589318548462726
270,agtes,5.58914368734812
653,baser,5.5861142080516615
283,akset,5.586055674538402
263,agnes,5.578882471040613
386,aners,5.575692837588112
298,aldre,5.573408601086301
622,banes,5.568402246143561
325,almes,5.562980916810866
338,alstr,5.55856299061283
341,alten,5.557781747702768
647,barse,5.556024897801324
300,alens,5.546986480090995
638,baret,5.541943282787071
536,asten,5.534351306201702
307,alger,5.531254487774965
566,avnes,5.526392456353001
317,alker,5.522852826469482
897,biles,5.518750051406364
527,asker,5.518491404141564
286,akter,5.50586133181911
274,airen,5.50535071713637
284,aksle,5.503219870138143
279,aksel,5.500602982863541
367,amnes,5.488181493055779
382,andre,5.482994068687865
522,asier,5.482098969518023
258,agler,5.477368901980173
573,bades,5.472636453190278
301,alert,5.469759248657675
280,aksen,5.467296909073396
319,alket,5.466743909459906
601,baler,5.4640304555373325
477,arken,5.456156837640048
512,arvet,5.455113486211176
392,anger,5.44403054582253
330,aloer,5.443106948864524
529,asket,5.442785370109416
418,anled,5.44261106106751
498,arres,5.439705901095211
660,baste,5.433109929422754
269,agter,5.431542373186085
485,armet,5.430960026203146
260,aglet,5.43045069353035
411,anker,5.430106622879318
48,adels,5.422128099880933
561,avler,5.417353205962586
134,afles,5.41732714126376
472,arien,5.416175529011795
524,asiet,5.414793817530785
603,balet,5.413697138809134
650,barts,5.4124786721697795
262,agner,5.410042278608149
635,baren,5.401525174679843
652,basen,5.3928095541753445
621,baner,5.388566807096132
914,biret,5.385706384297801
398,angre,5.382107323644382
394,anget,5.375028471883391
992,blues,5.374985774984023
494,arpet,5.373667976662511
563,avlet,5.370933193605827
380,andel,5.370297480091766
580,bages,5.3686830839079205
415,ankre,5.368177437118273
413,anket,5.355451291927203
565,avner,5.348419662834109
264,agnet,5.344974740719413
306,algen,5.344895746774776
634,barde,5.344533142853541
255,agers,5.344016995022717
316,alken,5.338833792465251
373,amter,5.337966542482873
202,afser,5.333886312486061
277,ajles,5.328367381322942
462,apter,5.325085222258504
526,asken,5.324211083298221
643,barns,5.323660457949354
869,bides,5.323247221894583
966,blase,5.323189571969171
623,banet,5.32210023024137
509,arven,5.315013422834308
572,bader,5.313484063999756
366,amner,5.311204914621081
896,biler,5.306380228116128
285,akten,5.299918310196032
333,alper,5.29932313837742
181,afret,5.2985529430987075
534,asper,5.2978001121180345
491,arons,5.295406337330366
796,beros,5.29327283660157
521,asien,5.2882597758941685
556,avers,5.287463906791228
397,angle,5.285698980524945
482,armen,5.283945308156983
567,avnet,5.283833651432964
502,arses,5.283318779965587
23,aares,5.276293556108512
204,afset,5.271239636638694
390,angel,5.2672808623543945
799,berus,5.26596388878677
974,blens,5.261490735214131
360,amers,5.260656300896327
898,bilet,5.257876632328406
409,ankel,5.256003386497746
329,aloen,5.252403784999986
321,alles,5.250379133723987
368,amnet,5.249072508641986
639,barke,5.242901546608745
673,beans,5.241215401834932
575,badse,5.239198183905492
557,avets,5.232276821733494
560,avlen,5.229266564782707
492,arpen,5.227474890421068
348,alune,5.225585235628714
268,agten,5.221837463580654
574,badet,5.218805380130744
133,afler,5.217879360851037
599,balde,5.216169001822227
499,arret,5.213978916039919
931,bitre,5.213592840025769
42,abers,5.208152774014501
554,avels,5.207197884471038
656,baske,5.207148576955338
579,bager,5.204219417063248
809,besat,5.194946535085703
877,biers,5.193090481111104
305,alfer,5.191875260155848
336,alses,5.177450889758768
981,blire,5.1741464697643424
135,aflet,5.173854406454877
201,afsel,5.173542798309898
224,after,5.171754719655487
324,almen,5.166566272049599
640,barks,5.164847642134045
14,aales,5.164762499906372
688,bedst,5.163423796452869
967,blats,5.1604002681335865
326,almne,5.156809343093565
868,bider,5.156778657773544
349,aluns,5.155184225825918
555,avens,5.1523050526631575
750,beles,5.138325734148578
997,bluse,5.136600060035516
39,abels,5.128009882710279
824,besor,5.127726208277726
598,bakse,5.127192431943995
895,bilen,5.121550607741515
616,bande,5.1211003611290264
359,amens,5.120345127642427
276,ajler,5.120278050207951
607,balke,5.113216401170241
819,beskt,5.112670957905097
332,alpen,5.108876649355072
610,baltr,5.107394999280345
355,ambes,5.104305278295304
954,blade,5.103990911880242
401,angst,5.101307758232939
649,barsl,5.101246315557902
533,aspen,5.100360892276423
797,berta,5.095233867305436
471,argus,5.094351029398653
811,beser,5.091828514619356
871,bidse,5.0908667767296505
926,bistr,5.089206411042276
915,birke,5.085440755330761
28,aaser,5.084446239688583
604,balge,5.082454473841033
278,ajlet,5.078006775441788
180,afred,5.073726639965035
496,arren,5.070729828608804
972,blegs,5.069196759341659
287,aktie,5.068672235671461
40,abens,5.067767367926664
442,anses,5.067729055369661
892,bilde,5.06633788048945
870,bidet,5.065908017974192
790,beret,5.061621444955807
989,blote,5.058134970523
930,biten,5.05505167787622
875,biens,5.053435058277222
587,bagte,5.0533476773100965
617,bands,5.052806633253669
845,betes,5.05124683372856
320,aller,5.0451177666185805
641,barme,5.0434429351769205
24,aaret,5.041030955430272
608,balks,5.040829630945892
291,akute,5.037494751610241
778,benes,5.034766278205159
254,agern,5.026635219571789
628,banke,5.019067790758673
30,aaset,5.018678808411336
525,asjet,5.0185368335083815
956,blads,5.018140026836521
813,beset,5.016312817964655
252,agent,5.013243891864012
740,bekas,5.010123098997164
546,atter,5.003509783070305
817,beskn,5.0030861108800115
